zipcode;Official USPS city name
98125;Seattle
98240;Custer
98241;Darrington
98385;South Prairie
98405;Tacoma
98467;University Place
98530;Bucoda
98555;Lilliwaup
98597;Yelm
98628;Klickitat
98814;Carlton
98822;Entiat
98840;Okanogan
98926;Ellensburg
98008;Bellevue
98053;Redmond
98109;Seattle
98178;Seattle
98288;Skykomish
98376;Quilcene
98550;Hoquiam
98583;Satsop
98644;Seaview
98684;Vancouver
98826;Leavenworth
98833;Mazama
98843;Orondo
98946;Thorp
98950;Vantage
98019;Duvall
98118;Seattle
98256;Index
98272;Monroe
98279;Olga
98311;Bremerton
98323;Carbonado
98351;Longbranch
98359;Olalla
98408;Tacoma
98433;Tacoma
98446;Tacoma
98571;Pacific Beach
98595;Westport
98626;Kelso
98639;North Bonneville
98645;Silverlake
98648;Stevenson
98649;Toutle
98821;Dryden
98933;Harrah
98941;Roslyn
98029;Issaquah
98070;Vashon
98074;Sammamish
98103;Seattle
98257;La Conner
98336;Glenoma
98346;Kingston
98613;Centerville
98664;Vancouver
98686;Vancouver
98827;Loomis
98857;Warden
98858;Waterville
98903;Yakima
99156;Newport
98007;Bellevue
98188;Seattle
98252;Granite Falls
98266;Maple Falls
98314;Bremerton
98402;Tacoma
98406;Tacoma
98439;Lakewood
98502;Olympia
98606;Brush Prairie
98614;Chinook
98682;Vancouver
98815;Cashmere
98921;Buena
98940;Ronald
98032;Kent
98034;Kirkland
98133;Seattle
98146;Seattle
98253;Greenbank
98310;Bremerton
98338;Graham
98345;Keyport
98373;Puyallup
98377;Randle
98388;Steilacoom
98390;Sumner
98407;Tacoma
98586;South Bend
98635;Lyle
98650;Trout Lake
98685;Vancouver
98850;Rock Island
98925;Easton
98027;Issaquah
98038;Maple Valley
98059;Renton
98177;Seattle
98286;Shaw Island
98325;Chimacum
98381;Sekiu
98465;Tacoma
98589;Tenino
98591;Toledo
98811;Ardenvoir
98823;Ephrata
98935;Mabton
98943;South Cle Elum
98952;White Swan
98375;Puyallup
98380;Seabeck
98392;Suquamish
98394;Vaughn
98592;Union
98596;Winlock
98816;Chelan
98846;Pateros
99371;Washtucna
98148;Seattle
98199;Seattle
98230;Blaine
98255;Hamilton
98261;Lopez Island
98280;Orcas
98328;Eatonville
98339;Port Hadlock
98101;Seattle
98158;Seattle
98221;Anacortes
98225;Bellingham
98262;Lummi Island
98263;Lyman
98320;Brinnon
98391;Bonney Lake
98418;Tacoma
98443;Tacoma
98528;Belfair
98544;Galvin
98577;Raymond
98603;Ariel
98621;Grays River
98824;George
98953;Zillah
98134;Seattle
98235;Clearlake
98245;Eastsound
98290;Snohomish
98304;Ashford
98330;Elbe
98374;Puyallup
98421;Tacoma
98447;Tacoma
98506;Olympia
98546;Grapeview
98562;Moclips
98593;Vader
98617;Dallesport
98832;Marlin
98860;Wilson Creek
98023;Federal Way
98174;Seattle
98201;Everett
98204;Everett
98365;Port Ludlow
98026;Edmonds
98047;Pacific
98107;Seattle
98110;Bainbridge Island
98164;Seattle
98295;Sumas
98404;Tacoma
98559;Malone
98631;Long Beach
98660;Vancouver
98802;East Wenatchee
98836;Monitor
98847;Peshastin
98855;Tonasket
99166;Republic
98224;Baring
98236;Clinton
98250;Friday Harbor
98292;Stanwood
98337;Bremerton
98354;Milton
98004;Bellevue
98136;Seattle
98396;Wilkeson
98643;Rosburg
98673;Wishram
98908;Yakima
98938;Outlook
99169;Ritzville
98028;Kenmore
98229;Bellingham
98237;Concrete
98249;Freeland
98271;Marysville
98333;Fox Island
98357;Neah Bay
98367;Port Orchard
98403;Tacoma
98503;Lacey
98535;Copalis Beach
98542;Ethel
